what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1227144220843
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1227144220874
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1227144220874
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1227144221968
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1227144223171
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1227144223202
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1227144223202
started,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1227144223218
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1227144223233
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1227144223405
stopped,bundle,com.instantiations.designer.databinding,6.7.0.200808171146,com.instantiations.designer.databinding,1227144223702
stopped,bundle,com.swtdesigner.gwt,5.1.0.200808171209,com.swtdesigner.gwt,1227144223702
stopped,bundle,com.swtdesigner.layout.group.designer,6.7.0.200808171146,com.swtdesigner.layout.group.designer,1227144223702
stopped,bundle,com.swtdesigner.properties.java5,1.0.0,com.swtdesigner.properties.java5,1227144223702
stopped,bundle,com.swtdesigner,6.7.0.200808171146,com.swtdesigner,1227144223718
stopped,bundle,com.instantiations.j2ee,5.1.0.200808171209,com.instantiations.j2ee,1227144223718
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1227144223718
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1227144223718
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080603,org.eclipse.pde.api.tools.ui,1227144223718
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1227144223718
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080530-1200,org.eclipse.pde.runtime,1227144223718
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1227144223718
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080530,org.eclipse.pde.ui,1227144223718
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1227144223733
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1227144223733
